,title,cleaned
3958,Bindi's Bootcamp,Bindi's Bootcamp is an Australian children's game show television series aired on ABC3 on 7 July 2012 until 29 September 2012. It was hosted by Bindi Irwin.
3959,Birdie Buddy,"Birdie Buddy is a South Korean television series set in the world of professional golf. Based on the 2007 comic series of the same title by Lee Hyun-sae, it starred Uee, Lee Yong-woo and Lee Da-hee.The drama was pre-produced in 2010, and initially expected to air on MBC in December 2010, but the network decided not to give it a timeslot. After several postponements, it aired on cable channel tvN from August 8 to October 25, 2011 on Mondays and Tuesdays at 23:00. But instead of the original 20 episodes of 70 minutes each, it was re-edited into 24 episodes spanning 45 minutes each."
3960,Bitten,"Elena Micheals thought she left the world of supernatural behind when she left Stonehaven behind 'for good this time' she thought. Until the night she got the mysterious call from her pack leader asking her to come back. So now she is heading back, leaving her life as a normal photographer in Toronto for the moment to re-enter the world of werewolves, rules about protect the pack and a man she has spent years trying to get out of her system. Oh and did she mention she was the only living female werewolf in existence?"
3961,Bitter Daisies,"While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own."
3962,Black,The story of a grim reaper who gets erased from the memories of the world for breaking the rules of heaven and falling in love with a mortal woman after inhabiting a human body.
3963,#blackAF,A father takes an irreverent and honest approach to parenting and relationships.
3964,Black Butler,"In Victorian-era London, on the night of Ciel Phantomhive's tenth birthday a fire destroyed his manor and killed both of his parents. In a moment of death Ceil strikes a deal with a demon, his soul in exchange for revenge. This demon becomes his butler and calls himself by name of Sebastian Michaelis, to protect and serve Ciel until the deal has been completed. One month after the fire Ciel returns from being missing, with his new butler Sebastian. Ceil is now the head of the Phantomhive corporation, handling all business affairs as well as the work as the Queen of England’s guard dog and looking for his parents murders."
3965,Black Crows,A look at the lives of various members of an ISIS terrorist cell.
3966,Black Earth Rising,"As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape."
3967,Black Hollywood: 'They've Gotta Have Us',A unique portrait of how art and activism for black people in film are indivisible from race and cinema.
3968,Black Lightning,"Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community."
3969,Black Mirror,"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence."
3970,Black Money Love,"Ömer is a police officer. After the death of his fiancée, he suffers great pain. The body of Sibel, Ömer's fiancée, was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Ömer realizes that there is more behind her suspicious murder"
3971,Black Summer,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
3972,Blazing Transfer Students,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal."
3973,Bleach_2004,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil."
3974,Bloodline,"A dramatic thriller that explores the demons lurking beneath the surface of a contemporary American family. The Rayburns are hard-working pillars of their Florida Keys community. But when the black sheep son comes home for the 45th anniversary of his parents' hotel, he threatens to expose the Rayburns' dark secrets and shameful past, pushing his siblings to the limits of family loyalty."
3975,Bloodride,"The doomed passengers aboard a spectral bus head toward a gruesome, unknown destination in this deliciously macabre horror anthology series."
3976,Blood & Treasures,"Condemned by a centuries-old vow to protect her kingdom's treasures, an embittered spirit returns to seek justice against the man who wronged her."
3977,Blood & Water,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
3978,Blown Away,"Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion."
3979,Blue Exorcist,"Humans live in the world of Assiah, demons in Gehenna. The two dimensions are not meant to interfere with each other, but demons still possess creatures in Assiah in spite of this. The humans who can fight these demons are known as exorcists. Rin Okumura is a boy who bears the curse of being Satan's illegitimate son. His foster father sacrificed himself to save him from demons. To avenge his foster father's death as well as to prove himself, Rin decides to follow the path of an exorcist and defeat his own father, Satan. To hone his raw skills, Rin enters True Cross Academy to train with other exorcist candidates."
3980,Bobby Kennedy for President,"Historic footage and leading voices of the era examine the ""Bobby Phenomenon"" of the 1960s and the legacy of the man who helped redefine the country."
3981,Boca Juniors Confidential,"Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club."
3982,Bodyguard,A troubled war veteran is assigned to protect a controversial politician who may be the target of a terror plot.
3983,BoJack Horseman,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
3984,Bolívar: Una lucha admirable,This dramatization depicts the life -- and loves -- of Venezuelan Gen. Simón Bolívar who helped liberate several Latin American countries from Spain.
3985,Bonding,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
3986,Bondi Rescue,Follow the day to day life and work of lifeguards on Sydney's Bondi Beach.
3987,Bonus Family,"A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy."
3988,Booba,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings."
3989,Bo on the Go!,"Bo on the Go! is a Canadian TV series, created by Jeff Rosen and produced by Decode Entertainment, a DHX Media Company, in association with Decode Entertainment and Halifaxfilm. The TV series emphasizes the importance of movement for children through a plot element called ""Animoves"", which are animations demonstrating specific body movements that viewers must learn in order to solve problems highlighted in each episode. It is broadcast in Canada on CBC Television in the Kids' CBC programming block. It is broadcast in the United Kingdom on Playhouse Disney and it is also broadcast in the United States on Playhouse Disney and is also broadcast on Disney Junior every weekday at 5:00 a.m. EST and 12:00 a.m. EST. It is currently broadcast on seventeen broadcasters around the world, in over twelve languages, including Spanish, French, Italian, Greek, Arabic, Thai, Finnish, Hebrew, Portuguese, Turkish, and Gaelic."
3990,Borderline,"Mockumentary based in the border security office of fictional Northend Airport, a small provincial airport which may lack a little in glamour, but still must abide by the same rules as larger international airports"
3991,Borderliner,"To protect his family, police detective Nikolai covers up a murder case. But when his co-investigator Anniken suspects foul play, he is trapped in a dangerous game on duty, blurring the line between right and wrong."
3992,Border Patrol,"Border Patrol is a New Zealand reality television series, focusing on the Customs, the Ministry of Agriculture and Forestry, and the New Zealand Immigration Service. It is narrated by Tim Balme. They are checking through packages, travelers and goods to find if they try to smugle prohibited or undeclared goods. They have trained staff, dogs and technology to find this out."
3993,Bordertown,"The series tells the story of DI Kari Sorjonen of the Serious Crime Unit in Lappeenranta, his family, and his investigations into a variety of harrowing homicides around the border area."
3994,Borges Importadora,"Four employees of an import company discover that they were cheated by their former boss with a proposed society. Now with the bankrupt company, it is up to this quartet to solve all the processes and debts of the company. With no money to clear all accounts, they decide to create a video channel for the internet."
3995,Borgia,"Borgia is a French-German-Czech historical drama television series created by Tom Fontana. The show recounts the Borgia family's rise to power and subsequent domination of the Papal States during the Renaissance.Borgia debuted in Italy via Sky Italia on 10 July 2011, and in North America via Netflix on 2 October 2011. It was since renewed for a second season, which premiered on Canal+ on March 18, 2013. Season 3 is currently in Pre-Production, and will be the end of the series."
3996,Börü,"Turkey in the spring of 2014. A time when the enemies are growing on the border, the circle of danger inside is becoming narrower. The Republic of Turkey faces the greatest threats of recent history. BÖRÜ tells the story of heroic heroes who are touched by love. They are the last castle."
3997,Bottersnikes & Gumbles,"In a far away forgotten valley heaped with long-abandoned junk, a timeless battle rages between good and evil… and also between squishy and scaly, happy and grumpy, clever and wily… handsome and plain old ugly. This is the land of Bottersnikes and Gumbles."
3998,Boys Over Flowers,A working class girl winds up at an exclusive prep school. Unassuming high school girl Jan Di stands up to -- and eventually falls for -- a spoiled rich kid who belongs to the school's most powerful clique.
3999,Brainchild,"From germs and emotions to social media and more, it's the science of your world explained in a way that's refreshingly relatable."
4000,Brain Games,"Get ready to have your mind messed with! ""Brain Games"" is a groundbreaking series that uses interactive experiments, misdirection and tricks to demonstrate how our brains create the illusion of seamless reality through our memory, through our sensory perception, and how we focus our attention."
4001,Braxton Family Values,"Like their famous sister Toni Braxton, Traci, Towanda, Trina and Tamar were all blessed with the gift of song and shared that gift as a group called ""The Braxtons,"" managed by their mom Evelyn. Now, after battling debilitating illnesses that left her out of the spotlight, Toni Braxton is now fighting her way back to the top. She enlists the help of her sisters, but the drama they bring proves to be too much at times."
4002,"Breakfast, Lunch & Dinner","Chef David Chang takes his insatiable curiosity about food, culture and identity on the road, in the convivial company of fun-loving celebrity guests."
4003,Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime."
4004,Brews Brothers,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos."
4005,"Bring It On, Ghost",Hyun-Ji studied for her 19 years before she died in an accident. She is now a ghost and has wandered around the world for several years. Hyun-Ji then meets exorcist Park Bong-Pal. Hyun-Ji and Bong-Pal listens to various stories from ghosts and sends them to the otherworld.
4006,Britain's Horror Homes,Britain's Horror Homes is a documentary series which looks at different people whose lives have been ruined after their properties became living nightmares.
4007,Broadchurch,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
4008,Brojects,Brojects follows brothers Kevin and Andrew as they retreat from their everyday lives to their cottage sanctuary where they engage in challenging and often quirky DIY cottage building projects. The brothers devise imaginative projects aimed at turning their cottage into the ultimate weekend getaway
4009,Broken,This investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.
4010,Bromance,"Bromance is an American reality series that aired on MTV. It premiered on December 29, 2008. A spin-off of the MTV series The Hills, the show follows Brody Jenner as he searched to find a new best friend after his fall-out with longtime best friend Spencer Pratt. Nine men competed in challenges in an attempt to win a ""bromance"", or close male friendship, with Jenner.On February 2, 2009, it was revealed on air that Jenner had chosen Luke Verge as his new best friend. Along with Jenner's friendship and a spot in his entourage, Verge won a one year, rent-free stay in a fully furnished penthouse in downtown Los Angeles and a new Scion."
4011,Brotherhood,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction."
4012,Brown Nation,"Hasmukh operates a small IT Consulting company ""Shree Ganesh Computers Limited Inc"" in Queens, NY. Staffed by a disinterested and lazy cast of characters, his business flounders. His home life is not much better. His wife Dimple, a frustrated and jobless artist, complains constantly about not having enough time to explore her creativity because of the demands of taking care of her dog, Bobby. Hasmukh tries desperately to balance his work and family, but neither seem to have his best interest at heart."
4013,B: The Beginning,"In a world powered by advanced technology, crime and action unfold in the archipelagic nation of Cremona. Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
4014,Buddha,"Buddha is a mythological drama on Zee TV and Doordarshan,produced by B. K. Modi. The show airs from 8 September 2013 on Sunday at 11:00 am on Zee TV and Doordarshan. The programme stars Kabir Bedi in a cameo role as Asita Muni, the sage who announces the coming of Lord Gautam Buddha. The story of the serial is based on the life of Lord Buddha that shows how a prince,Siddhartha became a Buddha."
4015,Buddi,"The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship."
4016,Buddy Thunderstruck,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit."
4017,Bumping Mics with Jeff Ross & Dave Attell,"When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend."
4018,BUNK'D,"Siblings Emma, Ravi, and Zuri Ross leave their extravagant New York City penthouse once again to return to Camp Kikiwaka, a rustic summer camp in Maine where their parents met as teenagers."
4019,Burnistoun,"Burnistoun is a comedy sketch show broadcast by BBC Scotland, written by the Scottish comedians Iain Connell and Robert Florence. The show is produced by The Comedy Unit. Burnistoun is set in a fictional Scottish town/city in the greater Glasgow area. Characters include Kelly McGlade; Burnistoun's answer to Beyoncé; Paul and Walter, the disturbingly odd brothers that run an ice cream van; Jolly Boy John, who tells the things that make him ""For Real"" to the accompaniment of a happy hardcore soundtrack ; McGregor and Toshan, best friends Scott and Peter and the Burnistoun Butcher, a serial killer who is unhappy with the way he is being portrayed by the media.Connell and Florence have previously written sitcoms Empty and Legit and created characters for Chewin' the Fat and The Karen Dunbar Show.The third series started filming in January 2012 and began its run in August 2012. It has been confirmed on the show's Facebook page that series 3 will be its last."
4020,Busted!,"Suspense, surprises and fun abound in this Korean variety game show featuring big personalities and even bigger mysteries in every episode."
4021,Buy Herself,"Buy Herself is a Canadian reality television series, which premiered April 16, 2012 on HGTV Canada. Hosted by Sandra Rinomato, formerly of the HGTV series Property Virgins, the series focuses on single women who are seeking to buy their first house on their own. Its format is otherwise similar to that of Property Virgins, with Rinomato showing the potential buyer three homes and discussing how to manage and balance needs and expectations and complications in the home-buying process.Rinomato has stated in interviews that she was interested in doing a show focusing specifically on female homebuyers because as a relatively new social phenomenon, they face a unique set of personal and social pressures — such as family and cultural expectations that women are supposed to prioritize marriage over investment as a route to financial security — that can make the process more difficult and challenging for them than it is for a single man or a family."
4022,Cabins in the Wild with Dick Strawbridge,Dick Strawbridge and Will Hardie follow a competition to build a portable pop-up hotel in the wild comprised of eight stunning and unique themed cabins.
4023,Cable Girls,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they deal with romance, envy and the modern workplace."
4024,Cagaster of an Insect Cage,"Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother."
4025,Cain and Abel,"Cain and Abel is a 2009 South Korean television series starring So Ji-sub, Shin Hyun-joon, Han Ji-min, and Chae Jung-an. It aired on SBS from February 18 to April 23, 2009 on Wednesdays and Thursdays at 21:55 for 20 episodes."
4026,Caliphate,"National Security agent Fatima receives a tip that a terrorist attack against Sweden is in the planning stage. Meanwhile Sulle, a teenage girl in Stockholm, gets interested in her student assistent who opens doors to a new and fascinating world - the true path. Kalifat is a thriller about the intermingled fates of five young women who get caught up in the seducing and destroying force of religious fundamentalism."
4027,Call My Agent,"In Paris, France, a group of movie-star agents go about their lives and work, and they'll have to figure out how to carry on with the agency after the passing of their fearless leader. This hour-long drama plays out much like a soap opera, with more realistic problems and concerns. They don't do Olympic-size gymnastics to get you to believe a plot or to create drama."
4028,Call the Midwife,"Drama following the lives of a group of midwives working in the poverty-stricken East End of London during the 1950s, based on the best-selling memoirs of Jennifer Worth."
4029,Camelia La Texana,"Inspired by the famous song ""Contrabando y Traición,"" Camelia, a beautiful girl from San Antonio, kills her lover and becomes a legendary drug runner. What turns a naïve Texas gal into a ruthless drug runner? Her cheatin', lyin' boyfriend, of course."
4030,Campus,"Campus is a semi-improvised British sitcom created by the team behind the comedy sketch show Smack the Pony and hospital-based sitcom Green Wing, led by Victoria Pile who acts as co-writer, producer and director. It is set in the fictitious Kirke University and follows the lives of the staff, in particular the power-crazed and callous vice chancellor Jonty de Wolfe, lazy womanising English literature professor Matt Beer and newly promoted senior mathematics lecturer Imogen Moffat.Campus was first broadcast as a television pilot on Channel 4 on 6 November 2009, as part of the channel's Comedy Showcase season of comedy pilots. A full series was later commissioned and commenced airing on 5 April 2011, with the first episode being a re-shoot and expanded version of the pilot. When first broadcast many critics claimed it was too similar to Green Wing and that much of the humour was offensive. However, others praised the show's dark humour and surrealism. Campus was cancelled after one series due to poor TV ratings. Over the course of the first series the average ratings were 554,000 viewers per episode, or 2.99% of the total audience, which is below the Channel 4 average."
4031,Canada's Worst Handyman,"They're armed, dangerous and pose an imminent threat to person and property - and you might even be one! Discovery Channel has tracked down five shockingly shoddy renovators and offers the critical tools to help them improve."
4032,Candy Online,"When a wardrobe malfunction goes viral, a bubbly live streamer struggles to navigate her classmates' cruel judgment and the small town she lives in."
4033,Cannabis,"When a boatload of cannabis belonging to Moroccan drug lord El Feo is hijacked, the robbery has repercussions stretching across three countries."
4034,Cannon Busters,"With a maintenance robot and a deadly fugitive tagging along, friendship droid S.A.M searches for its best friend, the heir to a kingdom under siege."
4035,"Can't Cope, Won't Cope","A darkly comic drama about two young women, as one of them starts to spiral out of control. Aisling used to getting her own way and Danielle, never one to hog the spotlight, is only too happy to go along with it. But things are changing. Reality is about to hit them, and hit them hard"
4036,Can't Pay? We'll Take It Away!,"Camera follow teams of High Court Enforcement Agents, dealing with the execution of High Court Writs."
4037,Can We Get Married?,"Can We Get Married? is a 2012 South Korean television series starring Sung Joon, Jung So-min, Lee Mi-sook, Han Groo, and Kim Young-kwang. It aired on jTBC from October 29, 2012 to January 1, 2013 on Mondays and Tuesdays at 23:00 for 20 episodes. The romantic comedy explores the themes of love, marriage and family against the backdrop of a young couple preparing to get married in 100 days."
4038,Captive,"Documentary series reconstructing history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
4039,Care Bears and Cousins,Care Bears and Cousins
4040,Care Bears: Welcome to Care-a-Lot,"The Care Bears try to help kids and have fun in Care-a-Lot, but must contend with the antics of the mischievous Beastly and the young Beasties."
4041,Car Masters: Rust to Riches,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
4042,Carmen Sandiego,Carmen Sandiego returns in this series that follows her new international capers as well as past escapades that led to her becoming a super thief.
4043,Carole & Tuesday,"Fifty years have passed since mankind began migrating to the new frontier: Mars. It's an age where most culture is produced by AI, and people are content to be passive consumers.  There's a girl. Scrapping a living in the metropolis of Alba City, she's working part time while trying to become a musician. She's always felt like something is missing. Her name is Carole.There's a girl. Born to a wealthy family in the provincial town of Herschel City, she dreams of becoming a musician, but nobody around her understands. She feels like the loneliest person in the world. Her name is Tuesday.A chance meeting brings them together. They want to sing. They want to make music. Together, they feel like they just might have a chance. The two of them may only create a tiny wave. But that wave will eventually grow into something larger..."
4044,Carver Kings,Carver Kings presents the unique world of chainsaw carvers and the jaw-dropping art that they create with the buzz of saw.
4045,Casanova,"Casanova is a 2005 British television comedy drama serial, written by television scriptwriter Russell T Davies and directed by Sheree Folkson. Produced by Red Production Company for BBC Wales in association with Granada Television, the 3-episode series was first screened on digital television station BBC Three from 13 March, with a repeat on mainstream analogue network BBC One commencing 4 April."
4046,Case,A young ballerina is found hanged on a theatre stage in Reykjavik. The case is closed as suicide but two lawyers and a detective believe dark forces are at play in this challenging Icelandic thriller.
4047,Case Closed,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason."
4048,Castle and Castle,"Castle & Castle is a law series that follows the story of a married couple, ‘Remi Castle’ and her husband ‘Tega’ – two lawyers who run a successful practice in Lagos. They met 20 years ago when he taught her in law school."
4049,Castlevania,"A dark medieval fantasy following the last surviving member of the disgraced Belmont clan, trying to save Eastern Europe from extinction at the hand of Vlad Dracula Tepe himself. Inspired by the classic video game series."
4050,Castlevania: Hymn of Blood,Simon Belmont learns his fate and begins a quest that will change his life forever.
4051,Cathedral of the Sea,"In the 14th century, Barcelona is experiencing one of its most prosperous moments. The city has grown to La Ribera, a fishing district in which the largest Marian temple ever known is built: Santa María del Mar. But the construction runs parallel to Arnau Estanyol, a serf of the land who, fleeing the abuses of The feudal lords of the countryside take refuge in Barcelona."
4052,Caught On Camera (UK),UK is the most surveilled place in the world. It is home to more than 6 million CCTV cameras -- about 1 for every 14 people -- that operate 24/7 and generate more than 1 billion hours of ...
4053,Cells at Work!,"This is a story about you. A tale about the inside of your body... According to a new study, the human body consists of approximately 37 trillion cells. These cells are hard at work every day within a world that is your body. From the oxygen-carrying red blood cells to the bacteria-fighting white blood cells, get to know the unsung heroes and the drama that unfolds inside of you! It's the oddly relatable and interesting story that is the life of cells!"
4054,Chambers,"Consumed by the mystery surrounding the donor heart that saved her life, a young patient starts taking on sinister characteristics of the deceased."
4055,Champions,"Vince, a charismatic gym owner with no ambition lives with his younger brother Michael, a gorgeous idiot. Their simple life of women and working out is put on hold when the teenage son of Vince is dropped off on their doorstep by Priya, one of his old high school flings."
4056,Changing Faces,Dr. Michael Zacharia and Dr. David Penn are experts in their field of Changing Faces through cosmetic and dental surgery. We follow the journey of six patients with unique and compelling reasons for a medical transformation.
4057,Changing Seas,"Changing Seas is a public television series produced by WPBT2 in Miami, Florida. Narrated by well-known voice talent Peter Thomas, this series takes viewers on an exciting adventure to the ..."
4058,Charité at War,"Berlin, 1888. After penniless Ida’s life is saved at the Charité Hospital she must work off the treatment costs. While she becomes acquainted with the most brilliant physicians of this era at the world-famous hospital, the self-determined young woman discovers her passion for medicine."
4059,Charlie's Colorforms City,"Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West -- and right at home."
4060,Charmed,"Set in the fictional college town of Hilltowne, Charmed follows the lives of three sisters, Macy, Mel and Maggie Vera who, after the tragic death of their mother, discover they are three of the most powerful witches of all time."
4061,Charmed_1998,"Three sisters (Prue, Piper and Phoebe) reunite and unlock their powers to become the Charmed Ones, the most powerful good witches of all time, whose prophesied destiny is to protect innocent lives from evil beings such as demons and warlocks. Each sister possesses unique magical powers that grow and evolve, while they attempt to maintain normal lives in modern day San Francisco."
4062,Chasing Cameron,"The series stars Dallas and his famous friends embarking on a new tour of Magcon around Europe. Aaron Carpenter, Taylor Caniff, Blake Gray, Trey Schafer and Willie Jones are also starring in the series."
4063,Cheer,"The stakes on the mat are high, but for these cheerleaders, the only thing more brutal than their workouts and more exceptional than their performances are the stories of adversity and triumph behind the athletes themselves."
4064,Cheers,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.
4065,Cheer Squad,"The Great White Sharks are a sisterhood, there for each other through first loves, new jobs, bad breakups, and everything in between. But they are also elite athletes, idolized by thousands and members of the best all-star cheerleading team in the world. Cheer Squad follows the two-time World Cheerleading Champions on the long road to defending their title as they try to balance life off the mat with the all-consuming battle to stay on top."
4066,Cheese in the Trap,"Hong Seol and Yoo Jung attend the same college, but they couldn't be more different. Hong Seol is a poor, unpopular student with no money, while Yoo Jung is rich, well-liked, extremely smart, and popular. Hong Seol just wants to get through her college career quietly, but finds herself getting caught up in whatever Yoo Jung drags her into. Can Hong Seol break away, or will she continue to be the only person who sees Yoo Jung's true self?"
4067,Chef & My Fridge,The best chefs of Korea compete to create impromptu dishes that feature ingredients found inside the guest stars' personal refrigerators.
4068,Chef's Table,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food."
4069,Chef's Table: France,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
4070,Chelsea,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style."
4071,Chelsea Does,"Comedienne and writer Chelsea Handler discusses the topics of marriage, racism, Silicon Valley, and drugs. Filmed in four parts."
4072,Chewing Gum,"The life of Tracey, a religious, Beyoncé-obsessed 22-year-old  living in an estate in Tower Hamlets, and the mishaps of her neighbourhood, friends and family. Oh, and obvs her boyfriend!"
4073,Chewin' the Fat,"Chewin' the Fat is a Scottish comedy sketch show, starring Ford Kiernan, Greg Hemphill and Karen Dunbar. Comedians Paul Riley and Mark Cox also appeared regularly on the show.Chewin' the Fat first started as a radio series on BBC Radio Scotland. The later television show, which ran for four series, was first broadcast on BBC One Scotland, but series three and four, as well as highlights from the first two series, were later broadcast to the rest of the United Kingdom. Although the last series ended in February 2002, 6 Hogmanay specials were broadcast and offered on DVD when purchasing the Scottish Sun between 2000 to 2005, one every year.Chewin' the Fat gave rise to the spin-off show Still Game, a sitcom focusing on the two old male characters Jack and Victor.The series was mostly filmed in and around Glasgow and occasionally West Dunbartonshire.The English idiom to chew the fat means to chat casually, but thoroughly, about subjects of mutual interest."
4074,Chicago Typewriter,"Writers that lived under Japanese rule in the 1930's are reincarnated into a bestselling writer who is in a slump, a mysterious ghostwriter and an anti-fan of the bestselling writer."
4075,Chico Bon Bon: Monkey with a Tool Belt,STEM children's series focusing on construction and how mechanical things work.
4076,Chief of Staff,"As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top."
4077,Children of the Whales,"Chakuro is the 14-year-old archivist of the Mud Whale, a nigh-utopian island that floats across the surface of an endless sea of sand. Nine in ten of the inhabitants of the Mud Whale have been blessed and cursed with the ability to use saimia, special powers that doom them to an early death. Chakuro and his friends have stumbled across other islands, but they have never met, seen, or even heard of a human who wasn't from their own. One day, Chakuro visits an island as large as the Mud Whale and meets a girl who will change his destiny."
4078,Chilling Adventures of Sabrina,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic."
4079,Chip and Potato,"Lovable pug Chip starts kindergarten, makes new friends and tries new things -- with a little help from Potato, her secret mouse pal."
4080,Chocolate,"Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward."
4081,Chosen,"When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything."
4082,Ch:os:en,"Ch:os:en is an action-adventure television series starring Milo Ventimiglia and directed by Ben Ketai, airing via online streaming video service Crackle. The first season consisted of six episodes released simultaneously, on January 17, 2013. Crackle announced on March 25, 2013 the show has been renewed for a second season."
4083,Christiane Amanpour: Sex & Love Around the World,"Amanpour gets personal with women she meets in various corners of the globe by inquiring about their intimate lives. In the process, she shines a light on what sex and love look like around the world."
4084,Chuck & Danny's Road Trip,"Celebrity chefs and good friends Chuck Hughes and Danny Smiles are on a cross-country culinary RV adventure. They stop in six spectacular places in Canada where they go to any lengths to source and sample the freshest and tastiest foods. Then they turn that unique mix of ingredients into a one-of-a-kind campground feast for the local chefs, farmers, fishermen and foragers who helped them gather their bounty."
4085,Chug,Follow Zane Lamprey as he ventures across the globe to explore drinking cultures and customs. Zane will head off the beaten path to discover exotic drinks and encounter new drinking buddies along the way.
4086,Chuggington,Chuggington is a British computer-animated television series for children produced by Ludorum plc and on the BBC children's channel CBeebies in the UK and Disney Channel and Disney Junior in the US and other 175 territories throughout the world.
4087,Cinderella and Four Knights,"Eun Ha-Won is a college student. She is a bright girl who wants to be a veterinarian, but at home she is lonely. She is isolated from her family members. Eun Ha-Won lives with father, step-mother and step-sister after her mother died in a car accident. One day, she helps a mysterious old man. The old man suggests to her to live in a mansion and pursue her dream of becoming a veterinarian. Since than, she moves into the mansion and lives with three cousins Kang Ji-Woon, Kang Hyun-Min, Kang Seo-Woo and their bodyguard Lee Yoon-Sung."
4088,Cinta Si Wedding Planner,A wedding planner and an ex-Marine both have been unlucky in love. But a chance
4089,Clangers,"Major Clanger and his family are back for more gentle, life-affirming adventures for the whole family, with the first new episodes of The Clangers for over forty years."
4090,Clannad,"Tomoya Okazaki is a third year high school student resentful of his life. His mother passed away from a car accident when he was younger, causing his father to resort to alcohol and cigarettes. This results in fights between the two until Tomoya's shoulder is injured in a fight. Since then, Tomoya has had distant relationships with his father, causing him to become a delinquent over time. While on a walk to school, he meets a strange girl named Nagisa Furukawa who is a year older, but is repeating due to illness. Due to this, she is often alone as most of her friends have moved on. The two begin hanging out and slowly, as time goes by, Tomoya finds his life shifting in a new direction. Anime based on a popular visual novel game."
4091,Clash of the Collectables,Two antique experts go head-to-head by flipping hidden treasures for maximum profit at auctions in various locations.
